LECROYHDO6104,19130,Waveform
Segments,1,SegmentSize,25002
Segment,TrigTime,TimeSinceSegment1
#1,27-Jul-2000 17:00:50,0                 
Time,Ampl
-0.0029550616,0.023911114
-0.0029546616,0.024058336
-0.0029542616,0.024233336
-0.0029538616,0.024233336
-0.0029534616,0.024019447
-0.0029530616,0.023855558
-0.0029526616,0.024002781
-0.0029522616,0.024500003
-0.0029518616,0.024775003
-0.0029514616,0.024600003
-0.0029510616,0.024411114
-0.0029506616,0.024491669
-0.0029502616,0.024669447
-0.0029498616,0.024630558
-0.0029494616,0.02437778
-0.0029490616,0.024341669
-0.0029486616,0.024680558
-0.0029482616,0.025155558
-0.0029478616,0.025519447
-0.0029474616,0.02557778
-0.0029470616,0.025386114
-0.0029466616,0.025080558
-0.0029462616,0.024811114
-0.0029458616,0.024611114
-0.0029454616,0.024391669
-0.0029450616,0.024286114
-0.0029446616,0.024580558
-0.0029442616,0.025191669
-0.0029438616,0.025613892
-0.0029434616,0.025533336
-0.0029430616,0.025155558
-0.0029426616,0.024911114
-0.0029422616,0.024869447
-0.0029418616,0.024858336
-0.0029414616,0.024813892
-0.0029410616,0.024758336
-0.0029406616,0.024719447
-0.0029402616,0.024736114
-0.0029398616,0.024819447
-0.0029394616,0.024936114
-0.0029390616,0.025069447
-0.0029386616,0.025144447
-0.0029382616,0.025108336
-0.0029378616,0.024911114
-0.0029374616,0.024775003
-0.0029370616,0.024922225
-0.0029366616,0.025169447
-0.0029362616,0.025222225
-0.0029358616,0.025033336
-0.0029354616,0.024869447
-0.0029350616,0.024886114
-0.0029346616,0.025066669
-0.0029342616,0.025300003
-0.0029338616,0.025411114
-0.0029334616,0.025519447
-0.0029330616,0.025036114
-0.0029326616,0.021619447
-0.0029322616,0.014577781
-0.0029318616,0.0071722259
-0.0029314616,0.0029416706
-0.0029310616,0.0018583373
-0.0029306616,0.0015083373
-0.0029302616,0.0010861151
-0.0029298616,0.0010333374
-0.0029294616,0.0011416707
-0.0029290616,0.001075004
-0.0029286616,0.00089722627
-0.0029282616,0.00087500405
-0.0029278616,0.0011083374
-0.0029274616,0.0012972262
-0.0029270616,0.0012027818
-0.0029266616,0.0011361151
-0.0029262616,0.0013305596
-0.0029258616,0.001625004
-0.0029254616,0.0018138929
-0.0029250616,0.002000004
-0.0029246616,0.0022027817
-0.0029242616,0.0021666706
-0.0029238616,0.0018194484
-0.0029234616,0.0013888929
-0.0029230616,0.0011333374
-0.0029226616,0.0011333374
-0.0029222616,0.0013666707
-0.0029218616,0.001675004
-0.0029214616,0.0018222262
-0.0029210616,0.0016222262
-0.0029206616,0.0012222262
-0.0029202616,0.00091111516
-0.0029198616,0.00081944849
-0.0029194616,0.001000004
-0.0029190616,0.001325004
-0.0029186616,0.0015805596
-0.0029182616,0.0015416707
-0.0029178616,0.014736114
-0.0029174616,0.039805557
-0.0029170616,0.051027779
-0.0029166616,0.041763891
-0.0029162616,0.025033336
-0.0029158616,0.019463892
-0.0029154616,0.02059167
-0.0029150616,0.018811114
-0.0029146616,0.019000003
-0.0029142616,0.019144447
-0.0029138616,0.018488892
-0.0029134616,0.018788892
-0.0029130616,0.01919167
-0.0029126616,0.018955559
-0.0029122616,0.018888892
-0.0029118616,0.019047225
-0.0029114616,0.019219447
-0.0029110616,0.019008336
-0.0029106616,0.018733336
-0.0029102616,0.018647225
-0.0029098616,0.018852781
-0.0029094616,0.019508336
-0.0029090616,0.019900003
-0.0029086616,0.019955559
-0.0029082616,0.019700003
-0.0029078616,0.01954167
-0.0029074616,0.019644447
-0.0029070616,0.019800003
-0.0029066616,0.019922225
-0.0029062616,0.020033336
-0.0029058616,0.020086114
-0.0029054616,0.020111114
-0.0029050616,0.020077781
-0.0029046616,0.019836114
-0.0029042616,0.019613892
-0.0029038616,0.019688892
-0.0029034616,0.020075003
-0.0029030616,0.020344447
-0.0029026616,0.020258336
-0.0029022616,0.020108336
-0.0029018616,0.020113892
-0.0029014616,0.020188892
-0.0029010616,0.02029167
-0.0029006616,0.020433336
-0.0029002616,0.020569447
-0.0028998616,0.020658336
-0.0028994616,0.02074167
-0.0028990616,0.020858336
-0.0028986616,0.020802781
-0.0028982616,0.020488892
-0.0028978616,0.020280558
-0.0028974616,0.020336114
-0.0028970616,0.02036667
-0.0028966616,0.020308336
-0.0028962616,0.020452781
-0.0028958616,0.020902781
-0.0028954616,0.021300003
-0.0028950616,0.02136667
-0.0028946616,0.021269447
-0.0028942616,0.021155558
-0.0028938616,0.021063892
-0.0028934616,0.021033336
-0.0028930616,0.021075003
-0.0028926616,0.021163892
-0.0028922616,0.021255558
-0.0028918616,0.021308336
-0.0028914616,0.02126667
-0.0028910616,0.021177781
-0.0028906616,0.021088892
-0.0028902616,0.021113892
-0.0028898616,0.021308336
-0.0028894616,0.021602781
-0.0028890616,0.021808336
-0.0028886616,0.021630558
-0.0028882616,0.021147225
-0.0028878616,0.020822225
-0.0028874616,0.020955558
-0.0028870616,0.021311114
-0.0028866616,0.021563892
-0.0028862616,0.021619447
-0.0028858616,0.021455558
-0.0028854616,0.02114167
-0.0028850616,0.020955558
-0.0028846616,0.021144447
-0.0028842616,0.02146667
-0.0028838616,0.021619447
-0.0028834616,0.021633336
-0.0028830616,0.021752781
-0.0028826616,0.022025003
-0.0028822616,0.021347225
-0.0028818616,0.017988892
-0.0028814616,0.011975003
-0.0028810616,0.0060194482
-0.0028806616,0.0026694484
-0.0028802616,0.0016111151
-0.0028798616,0.0012333374
-0.0028794616,0.00085278183
-0.0028790616,0.00060833739
-0.0028786616,0.00048611518
-0.0028782616,0.00036667074
-0.0028778616,0.00039167074
-0.0028774616,0.00052222629
-0.0028770616,0.00060833739
-0.0028766616,0.0007444485
-0.0028762616,0.0010111151
-0.0028758616,0.0012138929
-0.0028754616,0.0011138929
-0.0028750616,0.0008805596
-0.0028746616,0.00092222627
